TL,MSCP_REACH,ReleaseSeason
330,3,spawn
315,3,spawn
412,3,spawn
352,3,spawn
310,3,spawn
320,3,spawn
325,3,spawn
328,3,spawn
316,3,spawn
332,3,spawn
331,3,spawn
344,3,spawn
305,3,spawn
343,3,spawn
322,3,spawn
326,3,spawn
309,3,spawn
350,3,spawn
307,3,spawn
314,3,spawn
321,3,spawn
317,3,spawn
326,3,spawn
320,3,spawn
329,3,spawn
314,3,spawn
335,3,spawn
344,3,spawn
326,3,spawn
308,3,spawn
342,3,spawn
360,3,spawn
311,3,spawn
326,3,spawn
306,3,spawn
325,3,spawn
305,3,spawn
320,3,spawn
335,3,spawn
305,3,spawn
312,3,spawn
329,3,spawn
315,3,spawn
321,3,spawn
365,3,spawn
305,3,spawn
311,3,spawn
316,3,spawn
313,3,spawn
329,3,spawn
345,3,spawn
318,3,spawn
316,3,spawn
308,3,spawn
315,3,spawn
312,3,spawn
321,3,spawn
324,3,spawn
343,3,spawn
329,3,spawn
315,3,spawn
312,3,spawn
363,3,spawn
347,3,spawn
341,3,spawn
316,3,spawn
359,3,spawn
335,3,spawn
316,3,spawn
328,3,spawn
307,3,spawn
309,3,spawn
336,3,spawn
319,3,spawn
336,3,spawn
318,3,spawn
314,3,spawn
355,3,spawn
322,3,spawn
336,3,spawn
316,3,spawn
306,3,spawn
308,3,spawn
315,3,spawn
332,3,spawn
313,3,spawn
307,3,spawn
312,3,spawn
334,3,spawn
305,3,spawn
340,3,spawn
320,3,spawn
325,3,spawn
308,3,spawn
344,3,spawn
315,3,spawn
312,3,spawn
334,3,spawn
335,3,spawn
335,3,spawn
321,3,spawn
308,3,spawn
307,3,spawn
320,3,spawn
305,3,spawn
316,3,spawn
331,3,spawn
310,3,spawn
336,3,spawn
350,3,spawn
315,3,spawn
305,3,spawn
326,3,spawn
342,3,spawn
345,3,spawn
306,3,spawn
315,3,spawn
305,3,spawn
309,3,spawn
324,3,spawn
311,3,spawn
329,3,spawn
328,3,spawn
306,3,spawn
315,3,spawn
335,3,spawn
309,3,spawn
355,3,spawn
329,3,spawn
347,3,spawn
330,3,spawn
308,3,spawn
320,3,spawn
322,3,spawn
307,3,spawn
306,3,spawn
326,3,spawn
307,3,spawn
349,3,spawn
321,3,spawn
311,3,spawn
346,3,spawn
305,3,spawn
336,3,spawn
321,3,spawn
307,3,spawn
362,3,spawn
321,3,spawn
314,3,spawn
324,3,spawn
311,3,spawn
307,3,spawn
315,3,spawn
340,3,spawn
311,3,spawn
365,3,spawn
311,3,spawn
305,3,spawn
351,3,spawn
331,3,spawn
320,3,spawn
313,3,spawn
385,3,spawn
329,3,spawn
328,3,spawn
310,3,spawn
316,3,spawn
344,3,spawn
346,3,spawn
326,3,spawn
372,3,spawn
365,3,spawn
330,3,spawn
339,3,spawn
311,3,spawn
317,3,spawn
313,3,spawn
338,3,spawn
316,3,spawn
349,3,spawn
352,3,spawn
324,3,spawn
305,3,spawn
328,3,spawn
324,3,spawn
318,3,spawn
361,3,spawn
321,3,spawn
307,3,spawn
350,3,spawn
311,3,spawn
311,3,spawn
309,3,spawn
319,3,spawn
331,3,spawn
305,3,spawn
317,3,spawn
310,3,spawn
311,3,spawn
335,3,spawn
305,3,spawn
341,3,spawn
337,3,spawn
325,3,spawn
325,3,spawn
317,3,spawn
342,3,spawn
312,3,spawn
307,3,spawn
337,3,spawn
333,3,spawn
316,3,spawn
322,3,spawn
339,3,spawn
313,3,spawn
309,3,spawn
325,3,spawn
325,3,spawn
331,3,spawn
313,3,spawn
362,3,spawn
320,3,spawn
334,3,spawn
312,3,spawn
338,3,spawn
382,3,spawn
322,3,spawn
320,3,spawn
310,3,spawn
316,3,spawn
325,3,spawn
306,3,spawn
347,3,spawn
325,3,spawn
334,3,spawn
320,3,spawn
310,3,spawn
375,3,spawn
353,3,spawn
334,3,spawn
322,3,spawn
311,3,spawn
339,3,spawn
318,3,spawn
333,3,spawn
310,3,spawn
318,3,spawn
317,3,spawn
305,3,spawn
313,3,spawn
332,3,spawn
315,3,spawn
330,3,spawn
308,3,spawn
305,3,spawn
311,3,spawn
312,3,spawn
315,3,spawn
323,3,spawn
306,3,spawn
313,3,spawn
318,3,spawn
333,3,spawn
362,3,spawn
328,3,spawn
330,3,spawn
317,3,spawn
307,3,spawn
311,3,spawn
335,3,spawn
312,3,spawn
308,3,spawn
320,3,spawn
309,3,spawn
313,3,spawn
313,3,spawn
320,3,spawn
305,3,spawn
321,3,spawn
305,3,spawn
349,3,spawn
330,3,spawn
309,3,spawn
310,3,spawn
313,3,spawn
330,3,spawn
334,3,spawn
309,3,spawn
336,3,spawn
352,3,spawn
316,3,spawn
317,3,spawn
314,3,spawn
305,3,spawn
321,3,spawn
319,3,spawn
307,3,spawn
318,3,spawn
338,3,spawn
310,3,spawn
331,3,spawn
335,3,spawn
362,3,spawn
317,3,spawn
314,3,spawn
332,3,spawn
338,3,spawn
343,3,spawn
352,3,spawn
352,3,spawn
342,3,spawn
306,3,spawn
317,3,spawn
328,3,spawn
305,3,spawn
325,3,spawn
332,3,spawn
324,3,spawn
339,3,spawn
358,3,spawn
313,3,spawn
305,3,spawn
320,3,spawn
306,3,spawn
330,3,spawn
334,3,spawn
330,3,spawn
307,3,spawn
314,3,spawn
321,3,spawn
343,3,spawn
330,3,spawn
347,3,spawn
305,3,spawn
343,3,spawn
317,3,spawn
343,3,spawn
350,3,spawn
335,3,spawn
320,3,spawn
348,3,spawn
345,3,spawn
309,3,spawn
325,3,spawn
311,3,spawn
333,3,spawn
315,3,spawn
343,3,spawn
306,3,spawn
309,3,spawn
305,3,spawn
334,3,spawn
305,3,spawn
305,3,spawn
320,3,spawn
311,3,spawn
320,3,spawn
315,3,spawn
335,3,spawn
327,3,spawn
311,3,spawn
312,3,spawn
312,3,spawn
318,3,spawn
305,3,spawn
308,3,spawn
311,3,spawn
325,3,spawn
305,3,spawn
335,3,spawn
335,3,spawn
330,3,spawn
322,3,spawn
363,3,spawn
313,3,spawn
326,3,spawn
334,3,spawn
326,3,spawn
308,3,spawn
332,3,spawn
350,3,spawn
340,3,spawn
330,3,spawn
336,3,spawn
305,3,spawn
309,3,spawn
333,3,spawn
305,3,spawn
305,3,spawn
327,3,spawn
312,3,spawn
373,3,spawn
325,3,spawn
322,3,spawn
318,3,spawn
305,3,spawn
338,3,spawn
337,3,spawn
366,3,spawn
322,3,spawn
315,3,spawn
324,3,spawn
316,3,spawn
316,3,spawn
352,3,spawn
316,3,spawn
345,3,spawn
326,3,spawn
348,3,spawn
322,3,spawn
315,3,spawn
313,3,spawn
308,3,spawn
317,3,spawn
346,3,spawn
319,3,spawn
322,3,spawn
330,3,spawn
332,3,spawn
309,3,spawn
320,3,spawn
341,3,spawn
326,3,spawn
361,3,spawn
329,3,spawn
340,3,spawn
343,3,spawn
342,3,spawn
320,3,spawn
312,3,spawn
